23,"אֲבִיאָסָף","ʼĂbîyʼâçâph","ab-ee-aw-sawf'","from 1 (אָב) and 622 (אָסַף); father of gathering (i.e. gatherer);","Abiasaph, an Israelite","Abiasaph."
24,"אָבִיב","ʼâbîyb","aw-beeb'","from an unused root (meaning to be tender);","green, i.e. a young ear of grain; hence, the name of the month Abib or Nisan","Abib, ear, green ears of corn (not maize)."
25,"אֲבִי גִבְעוֹן","ʼĂbîy Gibʻôwn","ab-ee' ghib-one'","from 1 (אָב) and 1391 (גִּבְעוֹן); father (i.e. founder) of Gibon;","Abi-Gibon, perhaps an Israelite","father of Gibeon."
26,"אֲבִיגַיִל","ʼĂbîygayil","ab-ee-gah'-yil","or shorter אֲבִיגַל; from 1 (אָב) and 1524 (גִּיל); father (i.e. source) of joy;","Abigail or Abigal, the name of two Israelitesses","Abigal."
27,"אֲבִידָן","ʼĂbîydân","ab-ee-dawn'","from 1 (אָב) and 1777 (דִּין); father of judgment (i.e. judge);","Abidan, an Israelite","Abidan."
28,"אֲבִידָע","ʼĂbîydâʻ","ab-ee-daw'","from 1 (אָב) and 3045 (יָדַע); father of knowledge (i.e. knowing);","Abida, a son of Abraham by Keturah","Abida, Abidah."
29,"אֲבִיָּה","ʼĂbîyâh","ab-ee-yaw'","or prolonged אֲבִיָּהוּ ; from 1 (אָב) and 3050 (יָהּ); father (i.e. worshipper) of Jah;","Abijah, the name of several Israelite men and two Israelitesses","Abiah, Abijah."
30,"אֲבִיהוּא","ʼĂbîyhûwʼ","ab-ee-hoo'","from 1 (אָב) and 1931 (הוּא); father (i.e. worshipper) of Him (i.e. God);","Abihu, a son of Aaron","Abihu."
31,"אֲבִיהוּד","ʼĂbîyhûwd","ab-ee-hood'","from 1 (אָב) and 1935 (הוֹד); father (i.e. possessor) of renown;","Abihud, the name of two Israelites","Abihud."
32,"אֲבִיהַיִל","ʼĂbîyhayil","ab-ee-hah'-yil","or (more correctly) אֲבִיחַיִל ; from 1 (אָב) and 2428 (חַיִל); father (i.e. possessor) of might;","Abihail or Abichail, the name of three Israelites and two Israelitesses","Abihail."
33,"אֲבִי הָעֶזְרִי","ʼĂbîy hâ-ʻEzrîy","ab-ee'-haw-ez-ree'","from 44 (אֲבִיעֶזֶר) with the article inserted; father of the Ezrite;","an Abiezrite or descendant of Abiezer","Abiezrite."
34,"אֶבְיוֹן","ʼebyôwn","eb-yone'","from 14 (אָבָה), in the sense of want (especially in feeling);","destitute","beggar, needy, poor (man)."
35,"אֲבִיּוֹנָה","ʼăbîyôwnâh","ab-ee-yo-naw'","from 14 (אָבָה);","provocative of desire; the caper berry (from its stimulative taste)","desire."
36,"אֲבִיטוּב","ʼĂbîyṭûwb","ab-ee-toob'","from 1 (אָב) and 2898 (טוּב); father of goodness (i.e. good);","Abitub, an Israelite","Abitub."
37,"אֲבִיטָל","ʼĂbîyṭâl","ab-ee-tal'","from 1 (אָב) and 2919 (טַל); father of dew (i.e. fresh);","Abital, a wife of King David","Abital."
38,"אֲבִיָּם","ʼĂbîyâm","ab-ee-yawm'","from 1 (אָב) and 3220 (יָם); father of (the) sea (i.e. seaman);","Abijam (or Abijah), a king of Judah","Abijam."
39,"אֲבִימָאֵל","ʼĂbîymâʼêl","ab-ee-maw-ale'","from 1 (אָב) and an elsewhere unused (probably foreign) word; father of Mael (apparently some Arab tribe);","Abimael, a son of Joktan","Abimael."
40,"אֲבִימֶלֶךְ","ʼĂbîymelek","ab-ee-mel'-ek","from 1 (אָב) and 4428 (מֶלֶךְ); father of (the) king;","Abimelek, the name of two Philistine kings and of two Israelites","Abimelech."
41,"אֲבִינָדָב","ʼĂbîynâdâb","ab-ee-naw-dawb'","from 1 (אָב) and 5068 (נָדַב); father of generosity (i.e. liberal);","Abinadab, the name of four Israelites","Abinadab."
42,"אֲבִינֹעַם","ʼĂbîynôʻam","ab-ee-no'-am","from 1 (אָב) and 5278 (נֹעַם); father of pleasantness (i.e. gracious);","Abinoam, an Israelite","Abinoam."
43,"אֶבְיָסָף","ʼEbyâçâph","eb-yaw-sawf'","contracted from 23 (אֲבִיאָסָף);","Ebjasaph, an Israelite","Ebiasaph."
44,"אֲבִיעֶזֶר","ʼĂbîyʻezer","ab-ee-ay'-zer","from 1 (אָב) and 5829 (עֵזֶר); father of help (i.e. helpful);","Abiezer, the name of two Israelites","Abiezer."
45,"אֲבִי־עַלְבוֹן","ʼĂbîy-ʻalbôwn","ab-ee-al-bone'","from 1 (אָב) and an unused root of uncertain derivation; probably, father of strength (i.e. valiant);","Abialbon, an Israelite","Abialbon."
46,"אָבִיר","ʼâbîyr","aw-beer'","from 82 (אָבַר);","mighty (spoken of God)","mighty (one)."
47,"אַבִּיר","ʼabbîyr","ab-beer'","for 46 (אָבִיר)","{mighty (spoken of God)}","angel, bull, chiefest, mighty (one), stout(-hearted), strong (one), valiant."
48,"אֲבִירָם","ʼĂbîyrâm","ab-ee-rawm'","from 1 (אָב) and 7311 (רוּם); father of height (i.e. lofty);","Abiram, the name of two Israelites","Abiram."
49,"אֲבִישַׁג","ʼĂbîyshag","ab-ee-shag'","from 1 (אָב) and 7686 (שָׁגָה); father of error (i.e. blundering);","Abishag, a concubine of David","Abishag."
50,"אֲבִישׁוּעַ","ʼĂbîyshûwaʻ","ab-ee-shoo'-ah","from 1 (אָב) and 7771 (שׁוֹעַ); father of plenty (i.e. prosperous);","Abishua, the name of two Israelites","Abishua."
51,"אֲבִישׁוּר","ʼĂbîyshûwr","ab-ee-shoor'","from 1 (אָב) and 7791 (שׁוּר); father of (the) wall (i.e. perhaps mason);","Abishur, an Israelite","Abishur."
52,"אֲבִישַׁי","ʼĂbîyshay","ab-ee-shah'ee","or (shorter) אַבְשַׁי ; from 1 (אָב) and 7862 (שַׁי); father of a gift (i.e. probably generous);","Abishai, an Israelite","Abishai."
53,"אֲבִישָׁלוֹם","ʼĂbîyshâlôwm","ab-ee-shaw-lome'","or (shortened) אַבְשָׁלוֹם ; from 1 (אָב) and 7965 (שָׁלוֹם); father of peace (i.e. friendly);","Abshalom, a son of David; also (the fuller form) a later Israelite","Abishalom, Absalom."
54,"אֶבְיָתָר","ʼEbyâthâr","ab-yaw-thawr'","contracted from 1 (אָב) and 3498 (יָתַר); father of abundance (i.e. liberal);","Ebjathar, an Israelite","Abiathar."
55,"אָבַךְ","ʼâbak","aw-bak'","a primitive root;","probably to coil upward","mount up."
56,"אָבַל","ʼâbal","aw-bal'","a primitive root;","to bewail","lament, mourn."
57,"אָבֵל","ʼâbêl","aw-bale'","from 56 (אָבַל);","lamenting","mourn(-er, -ing)."
58,"אָבֵל","ʼâbêl","aw-bale'","from an unused root (meaning to be grassy);","a meadow","plain. Compare also the proper names beginning with Abel-."
59,"אָבֵל","ʼÂbêl","aw-bale'","from 58 (אָבֵל); a meadow;","Abel, the name of two places in Palestine.","Abel."
60,"אֵבֶל","ʼêbel","ay'-bel","from 56 (אָבַל);","lamentation","mourning."
61,"אֲבָל","ʼăbâl","ab-awl'","apparently from 56 (אָבַל) through the idea of negation;","nay, i.e. truly or yet","but, indeed, nevertheless, verily."
62,"אָבֵל בֵּית־מֲעַכָה","ʼÂbêl Bêyth-Măʻakâh","aw-bale' bayth ma-akaw'","from 58 (אָבֵל) and 1004 (בַּיִת) and 4601 (מַעֲכָה); meadow of Beth-Maakah;","Abel of Beth-maakah, a place in Palestine","Abel-beth-maachah, Abel of Beth-maachah,"
63,"אָבֵל הַשִּׁטִּים","ʼÂbêl hash-Shiṭṭîym","aw-bale' hash-shit-teem'","from 58 (אָבֵל) and the plural of 7848 (שִׁטָּה), with the article inserted; meadow of the acacias;","Abel hash-Shittim, a place in Palestine","Abelshittim."
64,"אָבֵל כְּרָמִים","ʼÂbêl Kᵉrâmîym","aw-bale' ker-aw-meem'","from 58 (אָבֵל) and the plural of 3754 (כֶּרֶם); meadow of vineyards;","Abel-Keramim, a place in Palestine","plain of the vineyards."
65,"אָבֵל מְחוֹלָה","ʼÂbêl Mᵉchôwlâh","aw-bale' mekh-o-law'","from 58 (אָבֵל) and 4246 (מְחֹלָה)xlit mᵉchôwlâh corrected to mᵉchôlâh; meadow of dancing;","Abel-Mecholah, a place in Palestine","Abel-meholah."
66,"אַבֵל מַיִם","ʼAbêl Mayim","aw-bale' mah'-yim","from 58 (אָבֵל) and 4325 (מַיִם); meadow of water;","Abel-Majim, a place in Palestine","Abel-maim."
67,"אָבֵל מִצְרַיִם","ʼÂbêl Mitsrayim","aw-bale' mits-rah'-yim","from 58 (אָבֵל) and 4714 (מִצְרַיִם); meadow of Egypt;","Abel-Mitsrajim, a place in Palestine","Abel-mizraim."
68,"אֶבֶן","ʼeben","eh'-ben","from the root of 1129 (בָּנָה) through the meaning to build;","a stone","[phrase] carbuncle, [phrase] mason, [phrase] plummet, (chalk-, hail-, head-, sling-) stone(-ny), (divers) weight(-s)."
69,"אֶבֶן","ʼeben","eh'-ben","(Aramaic) corresponding to 68 (אֶבֶן)","{a stone}","stone."
70,"אֹבֶן","ʼôben","o' ben","from the same as 68 (אֶבֶן);","a pair of stones (only dual); a potter's wheel or a midwife's stool (consisting alike of two horizontal disks with a support between)","wheel, stool."
71,"אֲבָנָה","ʼĂbânâh","ab-aw-naw'","perhaps feminine of 68 (אֶבֶן); stony;  Compare 549 (אֲמָנָה).","Abanah, a river near Damascus","Abana."
72,"אֶבֶן הָעֵזֶר","ʼEben hâ-ʻÊzer","eh'-ben haw-e'-zer","from 68 (אֶבֶן) and 5828 (עֵזֶר) with the article inserted; stone of the help;","Eben-ha-Ezer, a place in Palestine","Ebenezer."
73,"אַבְנֵט","ʼabnêṭ","ab-nate'","of uncertain derivation;","a belt","girdle."
74,"אַבְנֵר","ʼAbnêr","ab-nare'","or (fully) אֲבִינֵר ; from 1 (אָב) and 5216 (נִיר); father of light (i.e. enlightening);","Abner, an Israelite","Abner."
75,"אָבַס","ʼâbaç","aw-bas'","a primitive root;","to fodder","fatted, stalled."
76,"אֲבַעְבֻּעָה","ʼăbaʻbuʻâh","ab-ah-boo-aw'","(by reduplication) from an unused root (meaning to belch forth);","an inflammatory pustule (as eruption)","blains."
77,"אֶבֶץ","ʼEbets","eh'-bets","from an unused root probably meaning to gleam; conspicuous;","Ebets, a place in Palestine","Abez."
78,"אִבְצָן","ʼIbtsân","ib-tsawn'","from the same as 76 (אֲבַעְבֻּעָה); splendid;","Ibtsan, an Israelite","Ibzan."
79,"אָבַק","ʼâbaq","aw-bak'","a primitive root, probably to float away (as vapor), but used only as denominative from 80 (אָבָק);","to bedust, i.e. grapple","wrestle."
80,"אָבָק","ʼâbâq","aw-bawk'","from root of 79 (אָבַק);","light particles (as volatile)","(small) dust, powder."
81,"אֲבָקָה","ʼăbâqâh","ab-aw-kaw'","feminine of 80 (אָבָק)","{light particles (as volatile)}","powder."
82,"אָבַר","ʼâbar","aw-bar'","a primitive root;","to soar","fly."
83,"אֵבֶר","ʼêber","ay-ber'","from 82 (אָבַר);","a pinion","(long-) wing(-ed)."
84,"אֶבְרָה","ʼebrâh","eb-raw'","feminine of 83 (אֵבֶר)","{a pinion}","feather, wing."
85,"אַבְרָהָם","ʼAbrâhâm","ab-raw-hawm'","contracted from 1 (אָב) and an unused root (probably meaning to be populous); father of a multitude;","Abraham, the later name of Abram","Abraham."
86,"אַבְרֵךְ","ʼabrêk","ab-rake'","probably an Egyptian word meaning","kneel","bow the knee."
87,"אַבְרָם","ʼAbrâm","ab-rawm'","contracted from 48 (אֲבִירָם); high father;","Abram, the original name of Abraham","Abram."
88,"אֹבֹת","ʼôbôth","o-both'","plural of 178 (אוֹב); water-skins;","Oboth, a place in the Desert","Oboth."
89,"אָגֵא","ʼÂgêʼ","aw-gay'","of uncertain derivation (compare 90 (אֲגַג));","Age, an Israelite","Agee."
90,"אֲגַג","ʼĂgag","ag-ag'","or אֲגָג; of uncertain derivation (compare 89 (אָגֵא)); flame;","Agag, a title of Amalekitish kings","Agag."
91,"אֲגָגִי","ʼĂgâgîy","ag-aw-ghee'","patrial or patronymic from 90 (אֲגַג);","an Agagite or descendent (subject) of Agag","Agagite."
92,"אֲגֻדָּה","ʼăguddâh","ag-ood-daw'","feminine passive participle of an unused root (meaning to bind);","a band, bundle, knot, or arch","bunch, burden, troop."
93,"אֱגוֹז","ʼĕgôwz","eg-oze'","prob of Persian origin;","a nut","nut."
94,"אָגוּר","ʼÂgûwr","aw-goor'","passive participle of 103 (אָגַר); gathered (i.e. received among the sages);","Agur, a fanciful name for Solomon","Agur."
95,"אֲגוֹרָה","ʼăgôwrâh","ag-o-raw'","from the same as 94 (אָגוּר);","properly, something gathered, i.e. perhaps a grain or berry; used only of a small (silver) coin","piece (of) silver."
96,"אֶגֶל","ʼegel","eh'-ghel","from an unused root (meaning to flow down or together as drops);","a reservoir","drop."
97,"אֶגְלַיִם","ʼEglayim","eg-lah'-yim","dual of 96 (אֶגֶל).; a double pond;","Eglajim, a place in Moab","Eglaim."
98,"אֲגַם","ʼăgam","ag-am'","from an unused root (meaning to collect as water);","a marsh; hence a rush (as growing in swamps); hence a stockade of reeds","pond, pool, standing (water)."
99,"אָגֵם","ʼâgêm","aw-game'","probably from the same as 98 (אֲגַם) (in the sense of stagnant water);","figuratively, sad","pond."
100,"אַגְמוֹן","ʼagmôwn","ag-mone'","from the same as 98 (אֲגַם); a marshy pool (others from a different root, a kettle); by implication","a bulrush (as growing there); collectively a rope of bulrushes","bulrush, caldron, hook, rush."
101,"אַגָּן","ʼaggân","ag-gawn'","probably from 5059 (נָגַן);","a bowl (as pounded out hollow)","basin, cup, goblet."
102,"אַגָּף","ʼaggâph","ag-gawf'","probably from 5062 (נָגַף) (through the idea of impending); a cover or heap; i.e.","(only plural) wings of an army, or crowds of troops","bands."
103,"אָגַר","ʼâgar","aw-gar'","a primitive root;","to harvest","gather."
104,"אִגְּרָא","ʼiggᵉrâʼ","ig-er-aw'","(Aramaic) of Persian origin;","an epistle (as carried by a state courier or postman)","letter."
105,"אֲגַרְטָל","ʼăgarṭâl","ag-ar-tawl'","of uncertain derivation;","a basin","charger."
106,"אֶגְרֹף","ʼegrôph","eg-rofe'","from 1640 (גָּרַף) (in the sense of grasping);","the clenched hand","fist."
107,"אִגֶּרֶת","ʼiggereth","ig-eh'-reth","feminine of 104 (אִגְּרָא);","an epistle","letter."
108,"אֵד","ʼêd","ade","from the same as 181 (אוּד) (in the sense of enveloping);","a fog","mist, vapor."
109,"אָדַב","ʼâdab","aw-dab'","a primitive root;","to languish","grieve."
110,"אַדְבְּאֵל","ʼAdbᵉʼêl","ad-beh-ale'","probably from 109 (אָדַב) (in the sense of chastisement) and 410 (אֵל); disciplined of God;","Adbeel, a son of Ishmael","Adbeel."
111,"אֲדַד","ʼĂdad","ad-ad'","probably an orthographical variation for 2301 (חֲדַד);","Adad (or Hadad), an Edomite","Hadad."
112,"אִדּוֹ","ʼIddôw","id-do","of uncertain derivation;","Iddo, an Israelite","Iddo."
113,"אָדוֹן","ʼâdôwn","aw-done'","or (shortened) אָדֹן; from an unused root (meaning to rule);","sovereign, i.e. controller (human or divine)","lord, master, owner. Compare also names beginning with 'Adoni-'."
114,"אַדּוֹן","ʼAddôwn","ad-done'","probably intensive for 113 (אָדוֹן); powerful;","Addon, apparently an Israelite","Addon."
115,"אֲדוֹרַיִם","ʼĂdôwrayim","ad-o-rah'-yim","dual from 142 (אָדַר) (in the sense of eminence); double mound;","Adorajim, a place in Palestine","Adoraim."
116,"אֱדַיִן","ʼĕdayin","ed-ah'-yin","(Aramaic) of uncertain derivation;","then (of time)","now, that time, then."
117,"אַדִּיר","ʼaddîyr","ad-deer'","from 142 (אָדַר);","wide or (generally) large; figuratively, powerful","excellent, famous, gallant, glorious, goodly, lordly, mighty(-ier one), noble, principal, worthy."
118,"אֲדַלְיָא","ʼĂdalyâʼ","ad-al-yaw'","of Persian derivation;","Adalja, a son of Haman","Adalia."
119,"אָדַם","ʼâdam","aw-dam'","to show blood (in the face), i.e.","flush or turn rosy","be (dyed, made) red (ruddy)."
120,"אָדָם","ʼâdâm","aw-dawm'","from 119 (אָדַם);","ruddy i.e. a human being (an individual or the species, mankind, etc.)","[idiom] another, [phrase] hypocrite, [phrase] common sort, [idiom] low, man (mean, of low degree), person."
121,"אָדָם","ʼÂdâm","aw-dawm'","the same as 120 (אָדָם);","Adam the name of the first man, also of a place in Palestine","Adam."
122,"אָדֹם","ʼâdôm","aw-dome'","from 119 (אָדַם);","rosy","red, ruddy."
123,"אֱדֹם","ʼĔdôm","ed-ome'","or (fully) אֱדוֹם ; from 122 (אָדֹם); red (see Genesis 25:25);","Edom, the elder twin-brother of Jacob; hence the region (Idumaea) occupied by him","Edom, Edomites, Idumea."
124,"אֹדֶם","ʼôdem","o'-dem","from 119 (אָדַם);","redness, i.e. the ruby, garnet, or some other red gem","sardius."
125,"אֲדַמְדָּם","ʼădamdâm","ad-am-dawm'","reduplicated from 119 (אָדַם);","reddish","(somewhat) reddish."
126,"אַדְמָה","ʼAdmâh","ad-maw'","contracted for 127 (אֲדָמָה); earthy;","Admah, a place near the Dead Sea","Admah."
127,"אֲדָמָה","ʼădâmâh","ad-aw-maw'","from 119 (אָדַם);","soil (from its general redness)","country, earth, ground, husband(-man) (-ry), land."
128,"אֲדָמָה","ʼĂdâmâh","ad-aw-maw'","the same as 127 (אֲדָמָה);","Adamah, a place in Palestine","Adamah."
129,"אֲדָמִי","ʼĂdâmîy","ad-aw-mee'","from 127 (אֲדָמָה); earthy;","Adami, a place in Palestine","Adami."
130,"אֱדֹמִי","ʼĔdômîy","ed-o-mee'","or (fully) אֱדוֹמִי ; patronymic from 123 (אֱדֹם); See 726 (אֲרוֹמִי).","an Edomite, or descendants from (or inhabitants of) Edom","Edomite. "
131,"אֲדֻמִּים","ʼĂdummîym","ad-oom-meem'","plural of 121 (אָדָם); red spots;","Adummim, a pass in Palestine","Adummim."
132,"אַדְמֹנִי","ʼadmônîy","ad-mo-nee'","or (fully) אַדְמוֹנִי ; from 119 (אָדַם);","reddish (of the hair or the complexion)","red, ruddy."
133,"אַדְמָתָא","ʼAdmâthâʼ","ad-maw-thaw'","probably of Persian derivation;","Admatha, a Persian nobleman","Admatha."
134,"אֶדֶן","ʼeden","eh'-den","from the same as 113 (אָדוֹן) (in the sense of strength);","a basis (of a building, a column, etc.)","foundation, socket."
135,"אַדָּן","ʼAddân","ad-dawn'","intensive from the same as 134 (אֶדֶן); firm;","Addan, an Israelite","Addan."
136,"אֲדֹנָי","ʼĂdônây","ad-o-noy'","an emphatic form of 113 (אָדוֹן);","the Lord (used as a proper name of God only)","(my) Lord."
137,"אֲדֹנִי־בֶזֶק","ʼĂdônîy-Bezeq","ad-o''-nee-beh'-zek","from 113 (אָדוֹן) and 966 (בֶּזֶק); lord of Bezek;","Adoni-Bezek; a Canaanitish king","Adonibezek."
138,"אֲדֹנִיָּה","ʼĂdônîyâh","ad-o-nee-yaw'","original (prolonged) אֲדֹנִיָּהוּ ; from 113 (אָדוֹן) and 3050 (יָהּ); lord (i.e. worshipper) of Jah;","Adonijah, the name of three Israelites","Adonijah."
139,"אֲדֹנִי־צֶדֶק","ʼĂdônîy-Tsedeq","ad-o''-nee-tseh'-dek","from 113 (אָדוֹן) and 6664 (צֶדֶק); lord of justice;","Adoni-Tsedek, a Canaanitish king","Adonizedec."
140,"אֲדֹנִיקָם","ʼĂdônîyqâm","ad-o-nee-kawm'","from 113 (אָדוֹן) and 6965 (קוּם); lord of rising (i.e. high);","Adonikam, the name of one or two Israelites","Adonikam."
141,"אֲדֹנִירָם","ʼĂdônîyrâm","ad-o-nee-rawm'","from 113 (אָדוֹן) and 7311 (רוּם); lord of height;","Adoniram, an Israelite","Adoniram."
142,"אָדַר","ʼâdar","aw-dar'","a primitive root;","to expand, i.e. be great or (figuratively) magnificent","(become) glorious, honourable."
143,"אֲדָר","ʼĂdâr","ad-awr'","probably of foreign derivation; perhaps meaning fire;","Adar, the 12th Hebrew month","Adar."
144,"אֲדָר","ʼĂdâr","ad-awr'","(Aramaic) corresponding to 143 (אֲדָר)","{Adar, the 12th Hebrew month}","Adar."
145,"אֶדֶר","ʼeder","eh'-der","from 142 (אָדַר);","amplitude, i.e. (concrete) a mantle; also (figuratively) splendor","goodly, robe."
146,"אַדָּר","ʼAddâr","ad-dawr'","intensive from 142 (אָדַר); ample;","Addar, a place in Palestine; also an Israelite","Addar."
147,"אִדַּר","ʼiddar","id-dar'","(Aramaic) intensive, from a root corresponding to 142 (אָדַר);","ample, i.e. a threshing-floor","threshingfloor."
148,"אֲדַרְגָּזֵר","ʼădargâzêr","ad-ar''-gaw-zare'","(Aramaic) from the same as 147 (אִדַּר), and 1505 (גְּזַר);","a chief diviner, or astrologer","judge."
149,"אַדְרַזְדָּא","ʼadrazdâʼ","ad-raz-daw'","(Aramaic) probably of Persian origin;","quickly or carefully","diligently."
150,"אֲדַרְכֹּן","ʼădarkôn","ad-ar-kone'","of Persian origin;","a daric or Persian coin","dram."
151,"אֲדֹרָם","ʼĂdôrâm","ad-o-rawm'","contracted for 141 (אֲדֹנִירָם);","Adoram (or Adoniram), an Israelite","Adoram."
152,"אֲדְרַמֶּלֶךְ","ʼĂdrammelek","ad-ram-meh'-lek","from 142 (אָדַר) and 4428 (מֶלֶךְ); splendor of (the) king;","Adrammelek, the name of an Assyrian idol, also of a son of Sennacherib","Adrammelech."
153,"אֶדְרָע","ʼedrâʻ","ed-raw'","(Aramaic) an orthographical variation for 1872 (דְּרַע);","an arm, i.e. (figuratively) power","force."
154,"אֶדְרֶעִי","ʼedreʻîy","ed-reh'-ee","from the equivalent of 153 (אֶדְרָע); mighty;","Edrei, the name of two places in Palestine","Edrei."
155,"אַדֶּרֶת","ʼaddereth","ad-deh'-reth","feminine of 117 (אַדִּיר); ; also the same as 145 (אֶדֶר)","something ample (as a large vine, a wide dress)","garment, glory, goodly, mantle, robe."
156,"אָדַשׁ","ʼâdash","aw-dash'","a primitive root;","to tread out (grain)","thresh."
157,"אָהַב","ʼâhab","aw-hab'","or אָהֵב ; a primitive root;","to have affection for (sexually or otherwise)","(be-) love(-d, -ly, -r), like, friend."
158,"אַהַב","ʼahab","ah'-hab","from 157 (אָהַב);","affection (in a good or a bad sense)","love(-r)."
159,"אֹהַב","ʼôhab","o'-hab","from 156 (אָדַשׁ); meaning the same as 158 (אַהַב)","{affection (in a good or a bad sense)}","love."
160,"אַהֲבָה","ʼahăbâh","a-hab-aw","feminine of 158 (אַהַב) and meaning the same","{affection (in a good or a bad sense)}","love."
161,"אֹהַד","ʼÔhad","o'-had","from an unused root meaning to be united; unity;","Ohad, an Israelite","Ohad."
162,"אֲהָהּ","ʼăhâhh","a-haw'","apparently a primitive word expressing pain exclamatorily;","Oh!","ah, alas."
163,"אַהֲוָא","ʼAhăvâʼ","a-hav-aw'","probably of foreign origin;","Ahava, a river of Babylonia","Ahava."
164,"אֵהוּד","ʼÊhûwd","ay-hood'","from the same as 161 (אֹהַד); united;","Ehud, the name of two or three Israelites","Ehud."
165,"אֱהִי","ʼĕhîy","e-hee'","apparently an orthographical variation for 346 (אַיֵּה);","where","I will be (Hosea 13:10,14) (which is often the rendering of the same Hebrew form from 1961 (הָיָה))."
166,"אָהַל","ʼâhal","aw-hal'","a primitive root;","to be clear","shine."
167,"אָהַל","ʼâhal","aw-hal'","a denominative from 168 (אֹהֶל);","to tent","pitch (remove) a tent."
168,"אֹהֶל","ʼôhel","o'-hel","from 166 (אָהַל);","a tent (as clearly conspicuous from a distance)","covering, (dwelling) (place), home, tabernacle, tent."
169,"אֹהֶל","ʼÔhel","o'-hel","the same as 168 (אֹהֶל);","Ohel, an Israelite","Ohel."
170,"אׇהֳלָה","ʼOhŏlâh","o-hol-aw'","in form a feminine of 168 (אֹהֶל), but in fact for אׇהֳלָהּ; from 168 (אֹהֶל); her tent (i.e. idolatrous sanctuary);","Oholah, a symbolic name for Samaria","Aholah."
171,"אׇהֳלִיאָב","ʼOhŏlîyʼâb","o''-hol-e-awb'","from 168 (אֹהֶל) and 1 (אָב); tent of (his) father;","Oholiab, an Israelite","Aholiab."
172,"אׇהֳלִיבָה","ʼOhŏlîybâh","o''-hol-ee-baw'","(similarly with 170 (אׇהֳלָה)) for אׇהֳלִיבָהּ ; from 168 (אֹהֶל); my tent (is) in her;","Oholibah, a symbolic name for Judah","Aholibah."
173,"אׇהֳלִיבָמָה","ʼOhŏlîybâmâh","o''-hol-ee-baw-maw'","from 168 (אֹהֶל) and 1116 (בָּמָה); tent of (the) height;","Oholibamah, a wife of Esau","Aholibamah."
174,"אֲהָלִים","ʼăhâlîym","a-haw-leem'","or (feminine) אֲהָלוֹת (only used thus in the plural); of foreign origin;","aloe wood (i.e. sticks)","(tree of lign-) aloes."
